,total_boleta,propina,sexo,fumador,dia,hora,nro_clientes
0,16.99,1.01,mujer,no,domingo,cena,2
1,10.34,1.66,hombre,no,domingo,cena,3
2,21.01,3.5,hombre,no,domingo,cena,3
3,23.68,3.31,hombre,no,domingo,cena,2
4,24.59,3.61,mujer,no,domingo,cena,4
5,25.29,4.71,hombre,no,domingo,cena,4
6,8.77,2.0,hombre,no,domingo,cena,2
7,26.88,3.12,hombre,no,domingo,cena,4
8,15.04,1.96,hombre,no,domingo,cena,2
9,14.78,3.23,hombre,no,domingo,cena,2
10,10.27,1.71,hombre,no,domingo,cena,2
11,35.26,5.0,mujer,no,domingo,cena,4
12,15.42,1.57,hombre,no,domingo,cena,2
13,18.43,3.0,hombre,no,domingo,cena,4
14,14.83,3.02,mujer,no,domingo,cena,2
15,21.58,3.92,hombre,no,domingo,cena,2
16,10.33,1.67,mujer,no,domingo,cena,3
17,16.29,3.71,hombre,no,domingo,cena,3
18,16.97,3.5,mujer,no,domingo,cena,3
19,20.65,3.35,hombre,no,sabado,cena,3
20,17.92,4.08,hombre,no,sabado,cena,2
21,20.29,2.75,mujer,no,sabado,cena,2
22,15.77,2.23,mujer,no,sabado,cena,2
23,39.42,7.58,hombre,no,sabado,cena,4
24,19.82,3.18,hombre,no,sabado,cena,2
25,17.81,2.34,hombre,no,sabado,cena,4
26,13.37,2.0,hombre,no,sabado,cena,2
27,12.69,2.0,hombre,no,sabado,cena,2
28,21.7,4.3,hombre,no,sabado,cena,2
29,19.65,3.0,mujer,no,sabado,cena,2
30,9.55,1.45,hombre,no,sabado,cena,2
31,18.35,2.5,hombre,no,sabado,cena,4
32,15.06,3.0,mujer,no,sabado,cena,2
33,20.69,2.45,mujer,no,sabado,cena,4
34,17.78,3.27,hombre,no,sabado,cena,2
35,24.06,3.6,hombre,no,sabado,cena,3
36,16.31,2.0,hombre,no,sabado,cena,3
37,16.93,3.07,mujer,no,sabado,cena,3
38,18.69,2.31,hombre,no,sabado,cena,3
39,31.27,5.0,hombre,no,sabado,cena,3
40,16.04,2.24,hombre,no,sabado,cena,3
41,17.46,2.54,hombre,no,domingo,cena,2
42,13.94,3.06,hombre,no,domingo,cena,2
43,9.68,1.32,hombre,no,domingo,cena,2
44,30.4,5.6,hombre,no,domingo,cena,4
45,18.29,3.0,hombre,no,domingo,cena,2
46,22.23,5.0,hombre,no,domingo,cena,2
47,32.4,6.0,hombre,no,domingo,cena,4
48,28.55,2.05,hombre,no,domingo,cena,3
49,18.04,3.0,hombre,no,domingo,cena,2
50,12.54,2.5,hombre,no,domingo,cena,2
51,10.29,2.6,mujer,no,domingo,cena,2
52,34.81,5.2,mujer,no,domingo,cena,4
53,9.94,1.56,hombre,no,domingo,cena,2
54,25.56,4.34,hombre,no,domingo,cena,4
55,19.49,3.51,hombre,no,domingo,cena,2
56,38.01,3.0,hombre,si,sabado,cena,4
57,26.41,1.5,mujer,no,sabado,cena,2
58,11.24,1.76,hombre,si,sabado,cena,2
59,48.27,6.73,hombre,no,sabado,cena,4
60,20.29,3.21,hombre,si,sabado,cena,2
61,13.81,2.0,hombre,si,sabado,cena,2
62,11.02,1.98,hombre,si,sabado,cena,2
63,18.29,3.76,hombre,si,sabado,cena,4
64,17.59,2.64,hombre,no,sabado,cena,3
65,20.08,3.15,hombre,no,sabado,cena,3
66,16.45,2.47,mujer,no,sabado,cena,2
67,3.07,1.0,mujer,si,sabado,cena,1
68,20.23,2.01,hombre,no,sabado,cena,2
69,15.01,2.09,hombre,si,sabado,cena,2
70,12.02,1.97,hombre,no,sabado,cena,2
71,17.07,3.0,mujer,no,sabado,cena,3
72,26.86,3.14,mujer,si,sabado,cena,2
73,25.28,5.0,mujer,si,sabado,cena,2
74,14.73,2.2,mujer,no,sabado,cena,2
75,10.51,1.25,hombre,no,sabado,cena,2
76,17.92,3.08,hombre,si,sabado,cena,2
77,27.2,4.0,hombre,no,jueves,almuerzo,4
78,22.76,3.0,hombre,no,jueves,almuerzo,2
79,17.29,2.71,hombre,no,jueves,almuerzo,2
80,19.44,3.0,hombre,si,jueves,almuerzo,2
81,16.66,3.4,hombre,no,jueves,almuerzo,2
82,10.07,1.83,mujer,no,jueves,almuerzo,1
83,32.68,5.0,hombre,si,jueves,almuerzo,2
84,15.98,2.03,hombre,no,jueves,almuerzo,2
85,34.83,5.17,mujer,no,jueves,almuerzo,4
86,13.03,2.0,hombre,no,jueves,almuerzo,2
87,18.28,4.0,hombre,no,jueves,almuerzo,2
88,24.71,5.85,hombre,no,jueves,almuerzo,2
89,21.16,3.0,hombre,no,jueves,almuerzo,2
90,28.97,3.0,hombre,si,viernes,cena,2
91,22.49,3.5,hombre,no,viernes,cena,2
92,5.75,1.0,mujer,si,viernes,cena,2
93,16.32,4.3,mujer,si,viernes,cena,2
94,22.75,3.25,mujer,no,viernes,cena,2
95,40.17,4.73,hombre,si,viernes,cena,4
96,27.28,4.0,hombre,si,viernes,cena,2
97,12.03,1.5,hombre,si,viernes,cena,2
98,21.01,3.0,hombre,si,viernes,cena,2
99,12.46,1.5,hombre,no,viernes,cena,2
100,11.35,2.5,mujer,si,viernes,cena,2
101,15.38,3.0,mujer,si,viernes,cena,2
102,44.3,2.5,mujer,si,sabado,cena,3
103,22.42,3.48,mujer,si,sabado,cena,2
104,20.92,4.08,mujer,no,sabado,cena,2
105,15.36,1.64,hombre,si,sabado,cena,2
106,20.49,4.06,hombre,si,sabado,cena,2
107,25.21,4.29,hombre,si,sabado,cena,2
108,18.24,3.76,hombre,no,sabado,cena,2
109,14.31,4.0,mujer,si,sabado,cena,2
110,14.0,3.0,hombre,no,sabado,cena,2
111,7.25,1.0,mujer,no,sabado,cena,1
112,38.07,4.0,hombre,no,domingo,cena,3
113,23.95,2.55,hombre,no,domingo,cena,2
114,25.71,4.0,mujer,no,domingo,cena,3
115,17.31,3.5,mujer,no,domingo,cena,2
116,29.93,5.07,hombre,no,domingo,cena,4
117,10.65,1.5,mujer,no,jueves,almuerzo,2
118,12.43,1.8,mujer,no,jueves,almuerzo,2
119,24.08,2.92,mujer,no,jueves,almuerzo,4
120,11.69,2.31,hombre,no,jueves,almuerzo,2
121,13.42,1.68,mujer,no,jueves,almuerzo,2
122,14.26,2.5,hombre,no,jueves,almuerzo,2
123,15.95,2.0,hombre,no,jueves,almuerzo,2
124,12.48,2.52,mujer,no,jueves,almuerzo,2
125,29.8,4.2,mujer,no,jueves,almuerzo,6
126,8.52,1.48,hombre,no,jueves,almuerzo,2
127,14.52,2.0,mujer,no,jueves,almuerzo,2
128,11.38,2.0,mujer,no,jueves,almuerzo,2
129,22.82,2.18,hombre,no,jueves,almuerzo,3
130,19.08,1.5,hombre,no,jueves,almuerzo,2
131,20.27,2.83,mujer,no,jueves,almuerzo,2
132,11.17,1.5,mujer,no,jueves,almuerzo,2
133,12.26,2.0,mujer,no,jueves,almuerzo,2
134,18.26,3.25,mujer,no,jueves,almuerzo,2
135,8.51,1.25,mujer,no,jueves,almuerzo,2
136,10.33,2.0,mujer,no,jueves,almuerzo,2
137,14.15,2.0,mujer,no,jueves,almuerzo,2
138,16.0,2.0,hombre,si,jueves,almuerzo,2
139,13.16,2.75,mujer,no,jueves,almuerzo,2
140,17.47,3.5,mujer,no,jueves,almuerzo,2
141,34.3,6.7,hombre,no,jueves,almuerzo,6
142,41.19,5.0,hombre,no,jueves,almuerzo,5
143,27.05,5.0,mujer,no,jueves,almuerzo,6
144,16.43,2.3,mujer,no,jueves,almuerzo,2
145,8.35,1.5,mujer,no,jueves,almuerzo,2
146,18.64,1.36,mujer,no,jueves,almuerzo,3
147,11.87,1.63,mujer,no,jueves,almuerzo,2
148,9.78,1.73,hombre,no,jueves,almuerzo,2
149,7.51,2.0,hombre,no,jueves,almuerzo,2
150,14.07,2.5,hombre,no,domingo,cena,2
151,13.13,2.0,hombre,no,domingo,cena,2
152,17.26,2.74,hombre,no,domingo,cena,3
153,24.55,2.0,hombre,no,domingo,cena,4
154,19.77,2.0,hombre,no,domingo,cena,4
155,29.85,5.14,mujer,no,domingo,cena,5
156,48.17,5.0,hombre,no,domingo,cena,6
157,25.0,3.75,mujer,no,domingo,cena,4
158,13.39,2.61,mujer,no,domingo,cena,2
159,16.49,2.0,hombre,no,domingo,cena,4
160,21.5,3.5,hombre,no,domingo,cena,4
161,12.66,2.5,hombre,no,domingo,cena,2
